set auto mode enabled;false
set values;;highpower A1;;highpower A2;;highpower A3;;highpower A4;;highpower A5;;highpower A6;;highpower B1;;highpower B2;;highpower B3;;highpower B4;;highpower B5;;highpower B6;;highpower C1;;highpower C2;;highpower C3;;highpower C4;;highpower C5;;highpower C6;;highpower D1;;highpower D2;;highpower D3;;highpower D4;;highpower D5;;highpower D6;;humidity clean air;;humidity reactor;mf A1;mf A2;mf A3;mf A4;mf A5;mf A6;mf B1;mf B2;mf B3;mf B4;mf B5;mf B6;mf C1;mf C2;mf C3;mf C4;mf C5;mf C6;mf D1;mf D2;mf D3;mf D4;mf D5;mf D6;mf clean air;mf reactor;total mf amount;;;;temp cabinet;;;;temp reactor;;
;;1000.0;;1000.0;;1000.0;;1000.0;;1000.0;;1000.0;;1000.0;;1000.0;;1000.0;;1000.0;;1000.0;;1000.0;;1000.0;;1000.0;;1000.0;;1000.0;;1000.0;;1000.0;;1000.0;;1000.0;;1000.0;;1000.0;;1000.0;;1000.0;;85.0;;85.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;1000.0;650.0;1030.0;;;;37.0;;;;38.0;;
Id;sDateTime;highpower A1 [VOLTAGE_V];highpower enabled A1;highpower A2 [VOLTAGE_V];highpower enabled A2;highpower A3 [VOLTAGE_V];highpower enabled A3;highpower A4 [VOLTAGE_V];highpower enabled A4;highpower A5 [VOLTAGE_V];highpower enabled A5;highpower A6 [VOLTAGE_V];highpower enabled A6;highpower B1 [VOLTAGE_V];highpower enabled B1;highpower B2 [VOLTAGE_V];highpower enabled B2;highpower B3 [VOLTAGE_V];highpower enabled B3;highpower B4 [VOLTAGE_V];highpower enabled B4;highpower B5 [VOLTAGE_V];highpower enabled B5;highpower B6;highpower enabled B6;highpower C1 [VOLTAGE_V];highpower enabled C1;highpower C2 [VOLTAGE_V];highpower enabled C2;highpower C3 [VOLTAGE_V];highpower enabled C3;highpower C4 [VOLTAGE_V];highpower enabled C4;highpower C5 [VOLTAGE_V];highpower enabled C5;highpower C6 [VOLTAGE_V];highpower enabled C6;highpower D1 [VOLTAGE_V];highpower enabled D1;highpower D2 [VOLTAGE_V];highpower enabled D2;highpower D3 [VOLTAGE_V];highpower enabled D3;highpower D4 [VOLTAGE_V];highpower enabled D4;highpower D5 [VOLTAGE_V];highpower enabled D5;highpower D6 [VOLTAGE_V];highpower enabled D6;humidity clean air [PERCENTRF];humidity inlet [PERCENTRF];humidity reactor [PERCENTRF];massflow A1 [MASSFLOW_ml/min];massflow A2 [MASSFLOW_ml/min];massflow A3 [MASSFLOW_ml/min];massflow A4 [MASSFLOW_ml/min];massflow A5 [MASSFLOW_ml/min];massflow A6 [MASSFLOW_ml/min];massflow B1 [MASSFLOW_ml/min];massflow B2 [MASSFLOW_ml/min];massflow B3 [MASSFLOW_ml/min];massflow B4 [MASSFLOW_ml/min];massflow B5 [MASSFLOW_ml/min];massflow B6 [MASSFLOW_ml/min];massflow C1 [MASSFLOW_ml/min];massflow C2 [MASSFLOW_ml/min];massflow C3 [MASSFLOW_ml/min];massflow C4 [MASSFLOW_ml/min];massflow C5 [MASSFLOW_ml/min];massflow C6 [MASSFLOW_ml/min];massflow D1 [MASSFLOW_ml/min];massflow D2 [MASSFLOW_ml/min];massflow D3 [MASSFLOW_ml/min];massflow D4 [MASSFLOW_ml/min];massflow D5 [MASSFLOW_ml/min];massflow D6 [MASSFLOW_ml/min];massflow clean air [MASSFLOW_ml/min];massflow reactor [MASSFLOW_ml/min];total mass flow [MASSFLOW_l/h];differential pressure inlet [PRESSURE_MBAR];differential pressure reactor [PRESSURE_MBAR];differential pressure prefill [PRESSURE_MBAR];temperature A1 [°C];temperature A2 [°C];temperature B1 [°C];temperature B2 [°C];temperature C1 [°C];temperature C2 [°C];temperature cabinet [°C];temperature inlet [°C];temperature reactor [°C];temperature tube [°C];active error;active warning;
Tue Sep 29 10:03:08 CEST 2015;29/09/2015 10:03:07;0.0;false;0.0;false;0.0;false;0.0;false;0.0;false;0.0;false;0.0;false;0.0;false;999.90857;true;1000.06726;true;0.0;false;0.0;false;0.0;false;0.0;false;1000.06714;true;999.9757;true;0.0;false;0.0;false;0.0;false;0.0;false;0.0;false;0.0;false;0.0;false;0.0;false;85.49454;39.538616;85.57269;101.28421;100.42603;100.52859;0.0;682.1894;721.9297;99.99849;99.90876;99.846794;100.03754;0.0;854.8312;99.8578;99.98719;100.03754;100.17365;0.0;379.9664;778.9536;949.8885;949.9383;0.0;0.0;0.0;997.757;649.6368;1033.1606;49.998474;1.5839106;1.8890958;37.5;37.2;36.1;35.8;35.4;35.4;38.2;26.3;38.2;38.8;false;false;
Tue Sep 29 10:03:18 CEST 2015;29/09/2015 10:03:17;0.0;false;0.0;false;0.0;false;0.0;false;0.0;false;0.0;false;0.0;false;0.0;false;1000.1039;true;1000.0609;true;0.0;false;0.0;false;0.0;false;0.0;false;999.9939;true;1000.0856;true;0.0;false;0.0;false;0.0;false;0.0;false;0.0;false;0.0;false;0.0;false;0.0;false;85.741394;39.586376;86.23593;98.9865;99.822685;101.104744;0.0;720.1654;645.9232;100.05768;100.15474;100.00886;100.19103;0.0;797.8384;100.08576;100.030525;99.938034;99.75495;0.0;436.9582;778.9528;949.891;949.9433;0.0;0.0;18.999924;1010.2848;647.9126;1032.7706;49.998474;1.5808588;1.8494216;37.5;37.2;36.1;35.8;35.4;35.5;38.2;26.3;38.2;38.8;false;false;
Tue Sep 29 10:03:28 CEST 2015;29/09/2015 10:03:27;0.0;false;0.0;false;0.0;false;0.0;false;0.0;false;0.0;false;0.0;false;0.0;false;999.7926;true;1000.049;true;0.0;false;0.0;false;0.0;false;0.0;false;999.95123;true;1000.0734;true;0.0;false;0.0;false;0.0;false;0.0;false;0.0;false;0.0;false;0.0;false;0.0;false;85.217186;39.52362;84.31688;99.66308;97.80881;99.79677;0.0;682.205;702.95135;100.05065;99.973465;99.86205;99.926155;0.0;835.85516;99.94415;99.757385;100.08148;100.11844;0.0;398.97488;854.9417;949.88556;949.93604;0.0;0.0;0.0;998.9852;645.14453;1031.8221;49.998474;1.5198218;1.9074068;37.5;37.2;36.1;35.8;35.4;35.5;38.2;26.3;38.2;38.8;false;false;
Tue Sep 29 10:03:38 CEST 2015;29/09/2015 10:03:37;0.0;false;0.0;false;0.0;false;0.0;false;0.0;false;0.0;false;0.0;false;0.0;false;1000.0061;true;1000.06085;true;0.0;false;0.0;false;0.0;false;0.0;false;1000.0611;true;1000.0245;true;0.0;false;0.0;false;0.0;false;0.0;false;0.0;false;0.0;false;0.0;false;0.0;false;85.32664;39.51408;82.6299;100.563065;99.75679;99.36188;0.0;758.2012;702.9471;99.93224;99.9991;100.24873;100.3946;0.0;835.85876;99.92156;100.038445;100.13519;100.00581;0.0;379.97556;797.95056;930.8948;949.9324;37.99832;0.0;18.999924;994.3084;647.615;1030.2566;49.998474;1.5869625;1.803644;37.5;37.2;36.1;35.8;35.4;35.5;38.2;26.3;38.2;38.8;false;false;
Tue Sep 29 10:03:48 CEST 2015;29/09/2015 10:03:47;0.0;false;0.0;false;0.0;false;0.0;false;0.0;false;0.0;false;0.0;false;0.0;false;999.9511;true;1000.1404;true;0.0;false;0.0;false;0.0;false;0.0;false;1000.02435;true;999.9755;true;0.0;false;0.0;false;0.0;false;0.0;false;0.0;false;0.0;false;0.0;false;0.0;false;85.338165;39.521534;83.40152;100.47577;99.10888;99.898964;0.0;663.20703;664.93225;99.87183;100.10101;99.867874;99.84069;0.0;854.8696;99.79581;99.82391;99.5642;100.08272;0.0;379.97284;797.94946;930.8906;949.93835;18.998703;0.0;0.0;998.57336;649.5209;1029.7512;49.998474;1.4618366;1.9196142;37.5;37.2;36.1;35.8;35.4;35.5;38.2;26.3;38.2;38.8;false;false;
Tue Sep 29 10:03:58 CEST 2015;29/09/2015 10:03:57;0.0;false;0.0;false;0.0;false;0.0;false;0.0;false;0.0;false;0.0;false;0.0;false;1000.0428;true;1000.128;true;0.0;false;0.0;false;0.0;false;0.0;false;999.9268;true;999.988;true;0.0;false;0.0;false;0.0;false;0.0;false;0.0;false;0.0;false;0.0;false;0.0;false;85.58167;39.481873;84.69267;99.90294;99.794304;100.194725;0.0;644.1941;740.9172;99.93896;99.9765;99.826355;99.88373;0.0;911.8375;100.002754;99.85565;99.859024;100.04241;0.0;455.96637;778.9519;949.89154;949.93195;0.0;0.0;0.0;1002.83826;649.0905;1030.4818;49.998474;1.577807;1.8738365;37.5;37.2;36.1;35.8;35.4;35.5;38.2;26.3;38.2;38.8;false;false;
Tue Sep 29 10:04:08 CEST 2015;29/09/2015 10:04:07;0.0;false;0.0;false;0.0;false;0.0;false;0.0;false;0.0;false;0.0;false;0.0;false;1000.28705;true;1000.0183;true;0.0;false;0.0;false;0.0;false;0.0;false;1000.09143;true;999.95734;true;0.0;false;0.0;false;0.0;false;0.0;false;0.0;false;0.0;false;0.0;false;0.0;false;85.232605;39.468098;85.2351;99.370735;99.15708;100.31739;0.0;549.20575;512.93994;99.90905;99.893776;99.76746;100.14862;0.0;721.85986;100.39338;100.08088;99.97958;99.93348;0.0;341.9672;816.9475;949.89545;949.93304;0.0;0.0;0.0;1004.14294;646.12115;1031.0311;49.998474;1.4709922;1.8951994;37.5;37.2;36.1;35.8;35.4;35.5;38.2;26.3;38.2;38.7;false;false;
Tue Sep 29 10:04:18 CEST 2015;29/09/2015 10:04:17;0.0;false;0.0;false;0.0;false;0.0;false;0.0;false;0.0;false;0.0;false;0.0;false;1000.397;true;999.93896;true;0.0;false;0.0;false;0.0;false;0.0;false;1000.0245;true;999.93286;true;0.0;false;0.0;false;0.0;false;0.0;false;0.0;false;0.0;false;0.0;false;0.0;false;85.3289;39.449455;85.95372;100.471214;100.70376;101.382774;0.0;568.2237;721.94366;99.89351;100.04153;99.80775;100.23194;0.0;778.89044;100.115685;99.653625;99.71222;100.20754;0.0;303.97986;873.9453;949.8982;949.93713;0.0;0.0;0.0;995.201;645.1765;1030.035;49.998474;1.5472884;1.8494216;37.5;37.2;36.1;35.8;35.4;35.5;38.2;26.3;38.2;38.7;false;false;
Tue Sep 29 10:04:28 CEST 2015;29/09/2015 10:04:27;0.0;false;0.0;false;0.0;false;0.0;false;0.0;false;0.0;false;0.0;false;0.0;false;1000.06116;true;1000.0245;true;0.0;false;0.0;false;0.0;false;0.0;false;999.9632;true;1000.2258;true;0.0;false;0.0;false;0.0;false;0.0;false;0.0;false;0.0;false;0.0;false;0.0;false;85.09512;39.49515;86.63894;99.87092;99.83368;100.444046;0.0;606.2018;626.93585;99.94658;100.07538;100.01161;99.76286;0.0;740.851;99.790344;99.945076;99.97132;99.82817;0.0;341.95862;740.95123;949.88727;930.93866;0.0;0.0;0.0;995.18567;647.2534;1030.513;49.998474;1.5045625;1.8707846;37.5;37.2;36.1;35.8;35.4;35.5;38.2;26.3;38.2;38.7;false;false;
Tue Sep 29 10:04:38 CEST 2015;29/09/2015 10:04:37;0.0;false;0.0;false;0.0;false;0.0;false;0.0;false;0.0;false;0.0;false;0.0;false;999.9877;true;1000.03064;true;0.0;false;0.0;false;0.0;false;0.0;false;1000.11;true;1000.0856;true;0.0;false;0.0;false;0.0;false;0.0;false;0.0;false;0.0;false;0.0;false;0.0;false;85.45601;39.453987;83.21926;98.782936;99.245895;100.61862;0.0;606.18536;607.9399;100.098885;100.0122;99.983826;99.96065;0.0;797.8646;99.71558;99.818436;99.88466;99.7061;0.0;417.95984;721.95197;949.8897;949.93524;0.0;0.0;18.999924;1000.96906;649.3241;1030.2145;49.998474;1.5808588;1.8921475;37.5;37.2;36.1;35.8;35.4;35.5;38.2;26.3;38.1;38.7;false;false;
Tue Sep 29 10:04:48 CEST 2015;29/09/2015 10:04:47;0.0;false;0.0;false;0.0;false;0.0;false;0.0;false;0.0;false;0.0;false;0.0;false;999.9269;true;1000.06104;true;0.0;false;0.0;false;0.0;false;0.0;false;999.9085;true;1000.0611;true;0.0;false;0.0;false;0.0;false;0.0;false;0.0;false;0.0;false;0.0;false;0.0;false;85.26581;39.424297;83.12807;99.4641;97.23964;99.02341;0.0;701.20764;645.94617;99.90479;99.76716;100.07264;100.01802;0.0;854.8718;99.90816;100.043945;100.267334;100.07109;0.0;360.97473;835.9487;949.8923;930.9395;18.998398;0.0;18.999924;1006.8668;649.47815;1029.6432;49.998474;1.5594958;1.8982513;37.5;37.2;36.1;35.8;35.4;35.4;38.2;26.3;38.1;38.7;false;false;
